Date,Adj Close,Close,High,Low,Open,Volume,MA20,MA50,MA200,Daily Return,Volatility
2018-01-02,40.26707458496094,43.064998626708984,43.07500076293945,42.314998626708984,42.540000915527344,102223600,,,,,
2018-01-03,40.26005172729492,43.057498931884766,43.63750076293945,42.9900016784668,43.13249969482422,118071600,,,,-0.00017414826572337283,
2018-01-04,40.44706344604492,43.25749969482422,43.36750030517578,43.02000045776367,43.1349983215332,89738400,,,,0.004644969352628925,
2018-01-05,40.90756607055664,43.75,43.842498779296875,43.26250076293945,43.36000061035156,94640000,,,,0.01138531604115589,
2018-01-08,40.755638122558594,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,82271200,,,,-0.0037142508370535676,
2018-01-09,40.75096130371094,43.58250045776367,43.76499938964844,43.352500915527344,43.63750076293945,86336000,,,,-0.0001147362877008673,
2018-01-10,40.74160385131836,43.5724983215332,43.57500076293945,43.25,43.290000915527344,95839600,,,,-0.00022949890725432187,
2018-01-11,40.97303009033203,43.81999969482422,43.872501373291016,43.622501373291016,43.647499084472656,74670800,,,,0.00568021992828216,
2018-01-12,41.396121978759766,44.272499084472656,44.34000015258789,43.912498474121094,44.04499816894531,101672400,,,,0.01032632115015475,
2018-01-16,41.18574905395508,44.04750061035156,44.84749984741211,44.03499984741211,44.474998474121094,118263600,,,,-0.0050821272522202365,
2018-01-17,41.8659782409668,44.775001525878906,44.8125,43.76750183105469,44.037498474121094,137547200,,,,0.01651628141089967,
2018-01-18,41.90337371826172,44.814998626708984,45.025001525878906,44.5625,44.842498779296875,124773600,,,,0.0008932908870358247,
2018-01-19,41.71638107299805,44.6150016784668,44.89500045776367,44.352500915527344,44.65250015258789,129700400,,,,-0.0044627235160282774,
2018-01-22,41.37508773803711,44.25,44.44499969482422,44.150001525878906,44.32500076293945,108434400,,,,-0.008181142322873924,
2018-01-23,41.38443374633789,44.2599983215332,44.86000061035156,44.20500183105469,44.32500076293945,130756400,,,,0.0002259507691120266,
2018-01-24,40.72523880004883,43.55500030517578,44.32500076293945,43.29999923706055,44.3125,204420400,,,,-0.015928559491481753,
2018-01-25,39.998252868652344,42.77750015258789,43.73749923706055,42.63249969482422,43.627498626708984,166116000,,,,-0.017850996375621597,
2018-01-26,40.09176254272461,42.877498626708984,43.0,42.51499938964844,43.0,156572000,,,,0.002337641838920046,
2018-01-29,39.26192092895508,41.9900016784668,42.540000915527344,41.76750183105469,42.540000915527344,202561600,,,,-0.020698431034159137,
2018-01-30,39.030494689941406,41.74250030517578,41.842498779296875,41.17499923706055,41.38249969482422,184192800,43.583499908447266,,,-0.005894293007802864,
